GEO_LEVEL, GEO_CODE2, GEO_CODE3, GEO, GEO_FORMAL, REGION_ABBR, REGION_CODE, REGION, REGION_FORMAL, REGION_ORIGINAL
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, TENN., TN, TENNESSEE, TENNESSEE, TENNESSEE
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, TEX., TX, TEXAS, TEXAS, TEXAS
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, UTAH, UT, UTAH, UTAH, UTAH
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, VT., VT, VERMONT, VERMONT, VERMONT
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, VA., VA, VIRGINIA, VIRGINIA, VIRGINIA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, WASH., WA, WASHINGTON, WASHINGTON, WASHINGTON
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, W.VA., WV, WEST VIRGINIA, WEST VIRGINIA, WEST VIRGINIA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, WIS., WI, WISCONSIN, WISCONSIN, WISCONSIN
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, WYO., WY, WYOMING, WYOMING, WYOMING
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, N/A, AS, AMERICAN SAMOA, AMERICAN SAMOA, AMERICAN SAMOA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, D.C., DC, COLUMBIA, DISTRICT OF COLUMBIA, DISTRICT OF COLUMBIA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, FSM, FM, MICRONESIA, FEDERATED STATES OF MICRONESIA, FEDERATED STATES OF MICRONESIA
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, GUAM, GU, GUAM, GUAM, GUAM
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, N/A, MH, MARSHALL ISLANDS, MARSHALL ISLANDS, MARSHALL ISLANDS
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, N/A, MP, NORTHERN MARIANA ISLANDS, NORTHERN MARIANA ISLANDS, NORTHERN MARIANA ISLANDS
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, PALAU, PW, PALAU, PALAU, PALAU
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, P.R., PR, PUERTO RICO, PUERTO RICO, PUERTO RICO
5, US, USA, UNITED STATES, UNITED STATES OF AMERICA, V.I., VI, VIRGIN ISLANDS, VIRGIN ISLANDS, VIRGIN ISLANDS
5, CN, CHN, CHINA, PEOPLE'S REPUBLIC OF CHINA, HONG KONG, HK, HONG KONG, HONG KONG SPECIAL ADMINISTRATIVE REGION, HONG KONG
5, CN, CHN, CHINA, PEOPLE'S REPUBLIC OF CHINA, HONG KONG, HK, HONG KONG, HONG KONG SPECIAL ADMINISTRATIVE REGION, HK
5, CN, CHN, CHINA, PEOPLE'S REPUBLIC OF CHINA, HONG KONG, HK, HONG KONG, HONG KONG SPECIAL ADMINISTRATIVE REGION, CHINA- HONG KONG SAR
5, CN, CHN, CHINA, PEOPLE'S REPUBLIC OF CHINA, MACAU, MC, MACAU, MACAU SPECIAL ADMINISTRATIVE REGION, MACAU
5, CN, CHN, CHINA, PEOPLE'S REPUBLIC OF CHINA, MACAU, MC, MACAU, MACAU SPECIAL ADMINISTRATIVE REGION, MACAO
