,keys,values,0,1,2,3
592,19:14:0:1,7.765742,19,14,0,1
593,19:14:0:6,7.189626,19,14,0,6
594,19:14:0:7,6.551986,19,14,0,7
595,19:14:0:4,7.552083,19,14,0,4
596,19:14:0:5,7.742103,19,14,0,5
597,6:15:0:11,1.898975,6,15,0,11
598,29:6:0:11,4265.555,29,6,0,11
599,12:10:0:7,-0.9,12,10,0,7
600,12:10:0:6,-0.8,12,10,0,6
601,12:10:0:5,-0.9,12,10,0,5
602,12:10:0:4,0.1,12,10,0,4
603,12:10:0:3,0.7,12,10,0,3
604,12:10:0:2,-1.5,12,10,0,2
605,12:10:0:1,0.0,12,10,0,1
606,12:10:0:0,0.2,12,10,0,0
607,12:10:0:9,0.5,12,10,0,9
