hs_code,type,datas_code,datas_desc,type_pure_string
0402290001,whole milk powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- prepared for use as infants' or invalids' foods,0402290001,whole milk powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- prepared for use as infants' or invalids' foods,wholemilkpowdercontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightpreparedforuseasinfantsorinvalidsfoods
0402290009,whole milk powder and blended full cream powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight) with less than 26% butterfat,0402290009,whole milk powder and blended full cream powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight) with less than 26% butterfat,wholemilkpowderandblendedfullcreampowdercontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightwithlessthan26%butterfat
0402290019,whole milk powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.29,0402290019,whole milk powder- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.29,wholemilkpowdercontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightnecinitemno040229
0402290029,milk and cream- in powder- granules or other solid forms- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.29,0402290029,milk and cream- in powder- granules or other solid forms- containing added sugar or other sweetening matter- of a fat content exceeding 1.5% (by weight)- n.e.c. in item no. 0402.29,milkandcreaminpowdergranulesorothersolidformscontainingaddedsugarorothersweeteningmatterofafatcontentexceeding15%byweightnecinitemno040229
0402910000,milk and cream- concentrated- not containing added sugar or other sweetening matter- other than in powder- granules or other solid forms,0402910000,milk and cream- concentrated- not containing added sugar or other sweetening matter- other than in powder- granules or other solid forms,milkandcreamconcentratednotcontainingaddedsugarorothersweeteningmatterotherthaninpowdergranulesorothersolidforms
0402990001,milk and cream- condensed,0402990001,milk and cream- condensed,milkandcreamcondensed
0402990009,milk and cream- evaporated,0402990009,milk and cream- evaporated,milkandcreamevaporated
0403100000,yoghurt- whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa,0403100000,yoghurt- whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa,yoghurtwhetherornotconcentratedorcontainingaddedsugarorothersweeteningmatterorflavouredorcontainingaddedfruitorcocoa
0403900100,buttermilk- curdled milk and cream- kephir and other fermented or acidified milk and cream- not concentrated or sweetened- with or without flavouring- added fruit or cocoa (excluding yoghurt),0403900100,buttermilk- curdled milk and cream- kephir and other fermented or acidified milk and cream- not concentrated or sweetened- with or without flavouring- added fruit or cocoa (excluding yoghurt),buttermilkcurdledmilkandcreamkephirandotherfermentedoracidifiedmilkandcreamnotconcentratedorsweetenedwithorwithoutflavouringaddedfruitorcocoaexcludingyoghurt
0403901100,buttermilk- curdled milk and cream- kephir and other fermented or acidified milk and cream- concentrated or sweetened- with or without flavouring- fruit- cocoa- liquid or semi-solid (excluding yoghurt),0403901100,buttermilk- curdled milk and cream- kephir and other fermented or acidified milk and cream- concentrated or sweetened- with or without flavouring- fruit- cocoa- liquid or semi-solid (excluding yoghurt),buttermilkcurdledmilkandcreamkephirandotherfermentedoracidifiedmilkandcreamconcentratedorsweetenedwithorwithoutflavouringfruitcocoaliquidorsemisolidexcludingyoghurt
0403901901,buttermilk powder- produced by a spray process- concentrated or sweetened- with or without flavouring- added fruit or cocoa,0403901901,buttermilk powder- produced by a spray process- concentrated or sweetened- with or without flavouring- added fruit or cocoa,buttermilkpowderproducedbyasprayprocessconcentratedorsweetenedwithorwithoutflavouringaddedfruitorcocoa
0403901909,buttermilk powder- produced by other than a spray process- concentrated or sweetened- with or without flavouring- added fruit or cocoa,0403901909,buttermilk powder- produced by other than a spray process- concentrated or sweetened- with or without flavouring- added fruit or cocoa,buttermilkpowderproducedbyotherthanasprayprocessconcentratedorsweetenedwithorwithoutflavouringaddedfruitorcocoa
