Cm_Code,Commodity,Cn_Code,Country,Year,Area Harvested,Beginning Stocks,Production,Rough Production,Imports,Ty Imports,Milling Rate (.9999),Ty Imp. From U.S.,Total Supply,Exports,Ty Exports,Feed Dom. Consumption,Fsi Consumption,Domestic Consumption,Ending Stocks,Total Distribution,Yield,Unit Description
430000,Barley,BO,Belarus,2008/2009,616,306,2212,0,75,75,0,0,2593,0,0,1600,600,2200,393,2593,3.59,
430000,Barley,BO,Belarus,2009/2010,611,393,2123,0,50,50,0,0,2566,0,0,1600,600,2200,366,2566,3.48,
430000,Barley,BO,Belarus,2010/2011,691,366,1966,0,25,25,0,0,2357,0,0,1400,600,2000,357,2357,2.85,
430000,Barley,BO,Belarus,2011/2012,671,357,1979,0,74,107,0,0,2410,0,0,1500,600,2100,310,2410,2.95,
430000,Barley,BO,Belarus,2012/2013,557,310,1917,0,51,28,0,0,2278,0,0,1400,600,2000,278,2278,3.44,
430000,Barley,BO,Belarus,2013/2014,569,278,1674,0,18,11,0,0,1970,0,0,1200,600,1800,170,1970,2.94,
430000,Barley,BO,Belarus,2014/2015,546,170,1988,0,2,1,0,0,2160,0,0,1400,600,2000,160,2160,3.64,
430000,Barley,BO,Belarus,2015/2016,500,160,1849,0,6,7,0,0,2015,29,41,1250,600,1850,136,2015,3.7,
430000,Barley,BO,Belarus,2016/2017,450,136,1253,0,100,113,0,0,1489,16,3,800,600,1400,73,1489,2.78,
430000,Barley,BO,Belarus,2017/2018,452,73,1420,0,49,54,0,0,1542,0,0,850,600,1450,92,1542,3.14,
430000,Barley,BO,Belarus,2018/2019,429,92,944,0,200,200,0,0,1236,0,0,550,600,1150,86,1236,2.2,
430000,Barley,BT,Bhutan,2000/2001,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,1.0,
430000,Barley,BT,Bhutan,2001/2002,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,1.0,
430000,Barley,BT,Bhutan,2002/2003,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,1.0,
430000,Barley,BT,Bhutan,2003/2004,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,1.0,
430000,Barley,BT,Bhutan,2004/2005,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,1.0,
430000,Barley,BT,Bhutan,2005/2006,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,1.0,
430000,Barley,BT,Bhutan,2006/2007,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,1.0,
430000,Barley,BT,Bhutan,2007/2008,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,1.0,
430000,Barley,BT,Bhutan,2008/2009,5,0,5,0,1,1,0,0,6,0,0,0,6,6,0,6,1.0,
430000,Barley,BT,Bhutan,2009/2010,5,0,5,0,1,1,0,0,6,0,0,0,6,6,0,6,1.0,
430000,Barley,BT,Bhutan,2010/2011,5,0,5,0,0,0,0,0,5,0,0,0,5,5,0,5,1.0,
430000,Barley,BT,Bhutan,2011/2012,5,0,5,0,4,4,0,0,9,0,0,0,9,9,0,9,1.0,
430000,Barley,BT,Bhutan,2012/2013,5,0,5,0,1,1,0,0,6,0,0,0,6,6,0,6,1.0,
430000,Barley,BT,Bhutan,2013/2014,5,0,5,0,1,1,0,0,6,0,0,0,6,6,0,6,1.0,
430000,Barley,BT,Bhutan,2014/2015,5,0,5,0,1,1,0,0,6,0,0,0,6,6,0,6,1.0,
430000,Barley,BT,Bhutan,2015/2016,5,0,5,0,1,1,0,0,6,0,0,0,6,6,0,6,1.0,
430000,Barley,BT,Bhutan,2016/2017,5,0,5,0,1,0,0,0,6,0,0,0,6,6,0,6,1.0,
430000,Barley,BT,Bhutan,2017/2018,5,0,5,0,1,1,0,0,6,0,0,0,6,6,0,6,1.0,
430000,Barley,BT,Bhutan,2018/2019,5,0,5,0,1,1,0,0,6,0,0,0,6,6,0,6,1.0,
430000,Barley,BL,Bolivia,2000/2001,57,0,44,0,0,0,0,0,44,0,0,0,44,44,0,44,0.77,
430000,Barley,BL,Bolivia,2001/2002,59,0,45,0,0,0,0,0,45,0,0,0,45,45,0,45,0.76,
430000,Barley,BL,Bolivia,2002/2003,59,0,45,0,0,0,0,0,45,0,0,0,45,45,0,45,0.76,
430000,Barley,BL,Bolivia,2003/2004,58,0,45,0,0,0,0,0,45,0,0,0,45,45,0,45,0.78,
430000,Barley,BL,Bolivia,2004/2005,57,0,45,0,0,0,0,0,45,0,0,0,45,45,0,45,0.79,
430000,Barley,BL,Bolivia,2005/2006,57,0,46,0,0,0,0,0,46,0,0,0,46,46,0,46,0.81,
430000,Barley,BL,Bolivia,2006/2007,57,0,45,0,0,0,0,0,45,0,0,0,45,45,0,45,0.79,
430000,Barley,BL,Bolivia,2007/2008,57,0,46,0,0,0,0,0,46,0,0,0,46,46,0,46,0.81,
430000,Barley,BL,Bolivia,2008/2009,56,0,41,0,0,0,0,0,41,0,0,0,41,41,0,41,0.73,
430000,Barley,BL,Bolivia,2009/2010,57,0,43,0,0,0,0,0,43,0,0,0,43,43,0,43,0.75,
430000,Barley,BL,Bolivia,2010/2011,57,0,44,0,0,0,0,0,44,0,0,0,44,44,0,44,0.77,
430000,Barley,BL,Bolivia,2011/2012,58,0,44,0,0,0,0,0,44,0,0,0,44,44,0,44,0.76,
430000,Barley,BL,Bolivia,2012/2013,58,0,45,0,0,0,0,0,45,0,0,0,45,45,0,45,0.78,
430000,Barley,BL,Bolivia,2013/2014,56,0,45,0,0,0,0,0,45,0,0,0,45,45,0,45,0.8,
430000,Barley,BL,Bolivia,2014/2015,55,0,51,0,0,0,0,0,51,0,0,0,51,51,0,51,0.93,
430000,Barley,BL,Bolivia,2015/2016,55,0,46,0,0,0,0,0,46,0,0,0,46,46,0,46,0.84,
430000,Barley,BL,Bolivia,2016/2017,53,0,45,0,0,0,0,0,45,0,0,0,45,45,0,45,0.85,
430000,Barley,BL,Bolivia,2017/2018,52,0,48,0,0,0,0,0,48,0,0,0,48,48,0,48,0.92,
430000,Barley,BL,Bolivia,2018/2019,52,0,47,0,0,0,0,0,47,0,0,0,47,47,0,47,0.9,
430000,Barley,BK,Bosnia and Herzegovina,2000/2001,23,4,54,0,5,9,0,0,63,0,0,50,10,60,3,63,2.35,
430000,Barley,BK,Bosnia and Herzegovina,2001/2002,23,3,56,0,18,19,0,0,77,0,0,55,10,65,12,77,2.44,
430000,Barley,BK,Bosnia and Herzegovina,2002/2003,24,12,61,0,31,32,0,0,104,0,0,75,10,85,19,104,2.54,
430000,Barley,BK,Bosnia and Herzegovina,2003/2004,21,19,40,0,28,28,0,0,87,0,0,65,10,75,12,87,1.91,
430000,Barley,BK,Bosnia and Herzegovina,2004/2005,21,12,62,0,26,24,0,0,100,0,0,75,10,85,15,100,2.95,
430000,Barley,BK,Bosnia and Herzegovina,2005/2006,20,15,52,0,28,29,0,0,95,0,0,75,10,85,10,95,2.6,
430000,Barley,BK,Bosnia and Herzegovina,2006/2007,22,10,62,0,31,28,0,0,103,0,0,75,10,85,18,103,2.82,
430000,Barley,BK,Bosnia and Herzegovina,2007/2008,21,18,61,0,16,16,0,0,95,0,0,75,10,85,10,95,2.91,
430000,Barley,BK,Bosnia and Herzegovina,2008/2009,23,10,78,0,21,21,0,0,109,0,0,75,10,85,24,109,3.39,
