"","","","","","","January","January","February","February","March","March","April","April","May","May","June","June","July","July","August","August","September","September","October","October","November","November","December","December","Total","Total","","","","","",""
"Partner","","HS Code","Product","Year","UOM","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Value","Qty","Period/Period %  Change (Value)","Period/Period %  Change (Qty)","Reporter Code","Partner Code","Product Code",""
"Ireland","1","3501105000","CASEN,XMPC,NESOI","2018-2018","MT","2,966,456","364.0","2,499,927","364.6","4,929,625","768.3","4,110,397","615.8","5,869,438","778.1","8,042,951","996.4","7,853,592","1,085.0","5,636,797","683.8","5,576,325","604.5","1,773,835","280.6","3,151,480","441.5","3,954,862","473.7","56,365,685","7,456.1","25","7","US","EI","3501105000",""
"Ireland","2","3501101000","MLK PROT CNCNTRT","2015-2015","MT","1,207,217","130.3","2,825,542","295.4","360,520","37.3","2,827,399","272.6","3,822,054","460.9","4,179,337","463.2","2,550,991","296.3","2,755,431","334.0","2,799,032","326.1","4,758,435","623.7","4,881,630","570.1","4,135,197","498.2","37,102,785","4,308.0","-15","-13","US","EI","3501101000",""
"Ireland","2","3501101000","MLK PROT CNCNTRT","2016-2016","MT","2,165,069","281.0","2,367,136","367.8","3,114,692","470.1","1,677,500","223.0","1,520,942","244.5","2,210,540","322.7","2,246,282","316.8","2,981,116","442.0","3,807,238","516.7","4,552,276","612.2","2,471,178","309.3","3,761,013","495.7","32,874,982","4,601.8","52","60","US","EI","3501101000",""
"Ireland","2","3501101000","MLK PROT CNCNTRT","2017-2017","MT","1,827,877","292.5","1,498,348","233.0","277,223","38.6","0","0.0","1,531,876","172.2","1,804,800","192.0","524,332","55.8","1,119,464","154.2","1,261,811","147.5","2,719,443","320.7","1,082,522","131.5","2,538,379","346.1","16,186,075","2,084.0","134","163","US","EI","3501101000",""
"Ireland","2","3501101000","MLK PROT CNCNTRT","2018-2018","MT","2,660,807","381.7","3,150,274","431.3","1,538,908","253.5","1,448,299","206.0","3,451,866","481.6","2,203,573","301.5","4,060,798","521.9","5,301,690","779.3","5,112,605","717.0","2,566,407","379.3","1,551,993","203.6","2,081,526","285.1","35,128,746","4,941.8","34","40","US","EI","3501101000",""
"Ireland","3","3501906000","CSNT/OC,NT-CA/GL","2015-2015","MT","162,234","19.5","324,468","39.0","324,468","39.0","0","0.0","0","0.0","0","0.0","162,234","19.5","162,234","19.5","0","0.0","162,234","19.5","0","0.0","0","0.0","1,297,872","156.0","","","US","EI","3501906000",""
"Ireland","3","3501906000","CSNT/OC,NT-CA/GL","2016-2016","MT","0","0.0","162,234","19.5","162,234","19.5","0","0.0","249,600","19.5","162,234","19.5","108,479","19.5","141,522","16.8","109,561","19.5","132,403","19.5","117,975","19.5","124,357","19.5","1,470,599","192.3","5","0","US","EI","3501906000",""
"Ireland","3","3501906000","CSNT/OC,NT-CA/GL","2017-2017","MT","125,714","19.5","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0.0","125,714","19.5","","","US","EI","3501906000",""
"France(*)","1","3501105000","CASEN,XMPC,NESOI","2015-2015","MT","151,882","20.0","1,891,922","236.0","1,826,653","239.2","1,628,278","216.4","1,303,450","178.2","1,520,220","199.2","432,383","54.2","129,014","19.0","368,115","55.3","125,799","20.0","754,730","119.2","623,333","99.0","10,755,779","1,455.7","-17","-17","US","FR","3501105000",""
"France(*)","1","3501105000","CASEN,XMPC,NESOI","2016-2016","MT","604,945","96.5","1,206,857","194.2","682,869","117.0","392,287","60.7","1,145,337","217.6","459,953","82.0","1,551,239","309.0","1,395,780","237.2","1,158,884","214.0","1,403,361","255.0","657,563","134.2","1,254,068","228.0","11,913,143","2,145.4","91","70","US","FR","3501105000",""
